,Duration,Closure Hour,Closure Minute,Closure Second,Bridge,Date,Year,Month,Day
0,79347,14,12,14,1st Ave S,2016-01-30,2016,01,30
1,76234,11,55,46,1st Ave S,2016-01-30,2016,01,30
2,83776,8,58,20,1st Ave S,2016-01-30,2016,01,30
3,84395,7,59,46,1st Ave S,2016-01-30,2016,01,30
4,7288,7,17,59,1st Ave S,2016-01-30,2016,01,30
5,5016,9,10,37,1st Ave S,2016-01-29,2016,01,29
6,27888,10,27,32,1st Ave S,2016-01-28,2016,01,28
7,55328,18,1,24,1st Ave S,2016-01-28,2016,01,28
8,18897,9,16,24,1st Ave S,2016-01-27,2016,01,27
9,68429,14,22,16,1st Ave S,2016-01-26,2016,01,26
10,8625,9,10,57,1st Ave S,2016-01-26,2016,01,26
11,79025,11,23,9,1st Ave S,2016-01-25,2016,01,25
12,22681,9,4,35,1st Ave S,2016-01-25,2016,01,25
13,21498,9,36,29,1st Ave S,2016-01-24,2016,01,24
14,74155,15,25,26,1st Ave S,2016-01-23,2016,01,23
15,76214,11,52,10,1st Ave S,2016-01-23,2016,01,23
16,33807,8,49,54,1st Ave S,2016-01-23,2016,01,23
17,56835,18,1,59,1st Ave S,2016-01-22,2016,01,22
18,17214,9,38,10,1st Ave S,2016-01-21,2016,01,21
19,73927,14,14,33,1st Ave S,2016-01-20,2016,01,20
20,85333,10,40,34,1st Ave S,2016-01-20,2016,01,20
21,32192,9,40,44,1st Ave S,2016-01-20,2016,01,20
22,54065,18,22,22,1st Ave S,2016-01-20,2016,01,20
23,17172,9,14,26,1st Ave S,2016-01-19,2016,01,19
24,628,13,49,45,1st Ave S,2016-01-18,2016,01,18
25,72692,13,49,54,1st Ave S,2016-01-15,2016,01,15
26,85241,9,53,50,1st Ave S,2016-01-15,2016,01,15
27,7705,9,26,2,1st Ave S,2016-01-15,2016,01,15
28,81762,11,26,5,1st Ave S,2016-01-14,2016,01,14
29,30506,10,2,34,1st Ave S,2016-01-14,2016,01,14
30,64092,18,25,23,1st Ave S,2016-01-14,2016,01,14
31,81714,12,1,5,1st Ave S,2016-01-13,2016,01,13
32,11807,10,20,42,1st Ave S,2016-01-13,2016,01,13
33,5937,13,28,1,1st Ave S,2016-01-12,2016,01,12
34,66994,14,53,38,1st Ave S,2016-01-11,2016,01,11
35,83422,9,23,2,1st Ave S,2016-01-11,2016,01,11
36,36187,8,26,29,1st Ave S,2016-01-10,2016,01,10
37,62987,18,14,10,1st Ave S,2016-01-09,2016,01,09
38,85566,11,33,21,1st Ave S,2016-01-08,2016,01,08
39,79334,11,11,46,1st Ave S,2016-01-08,2016,01,08
40,41808,9,3,56,1st Ave S,2016-01-08,2016,01,08
41,52487,20,28,7,1st Ave S,2016-01-08,2016,01,08
42,84091,10,54,29,1st Ave S,2016-01-07,2016,01,07
43,82537,10,14,25,1st Ave S,2016-01-07,2016,01,07
44,21866,9,2,6,1st Ave S,2016-01-07,2016,01,07
45,73488,14,57,44,1st Ave S,2016-01-06,2016,01,06
46,84652,11,9,31,1st Ave S,2016-01-05,2016,01,05
47,84140,10,31,18,1st Ave S,2016-01-05,2016,01,05
48,85170,9,46,14,1st Ave S,2016-01-05,2016,01,05
49,1117,9,16,48,1st Ave S,2016-01-05,2016,01,05
50,85901,9,28,22,1st Ave S,2016-01-04,2016,01,04
51,32480,9,15,23,1st Ave S,2016-01-02,2016,01,02
52,74572,18,3,33,1st Ave S,2016-01-01,2016,01,01
53,79408,14,32,42,1st Ave S,2015-12-31,2015,12,31
